,Country/Region,Code,Population (Millions),Population Density,Population Percentage Over 60
0,Afghanistan,AFG,38.0418,58.2694,4.1655
1,Albania,ALB,2.8809,105.143,20.4779
2,Algeria,DZA,43.0531,18.0763,9.6817
3,American Samoa,ASM,0.0553,276.56,
4,Andorra,AND,0.0771,164.1319,
5,Angola,AGO,31.8253,25.5276,3.6243
6,Anguilla,AIA,0.0149,165.2111,
7,Antigua and Barbuda,ATG,0.0971,220.7227,13.6164
8,Argentina,ARG,44.7807,16.3631,15.3941
9,Armenia,ARM,2.9577,103.8894,17.9115
10,Aruba,ABW,0.1063,590.6333,21.0612
11,Australia,AUS,25.2032,3.2807,21.4395
12,Austria,AUT,8.9551,108.6666,25.3214
13,Azerbaijan,AZE,10.0477,121.5577,11.0734
14,Bahamas, BHM,0.3895,38.9093,11.7305
15,Bahrain,BHR,1.6412,2159.4368,5.1096
16,Bangladesh,BGD,163.0462,1252.5633,7.7418
17,Barbados,BRB,0.287,667.5,22.5412
18,Belarus,BLR,9.4524,46.5843,22.185
19,Belgium,BEL,11.5393,381.0875,25.2634
20,Belize,BLZ,0.3904,17.1132,7.3987
21,Benin,BEN,11.8012,104.6572,5.0438
22,Bermuda,BMU,0.0625,1250.12,
23,Bhutan,BTN,0.7631,20.0197,8.7877
24,Bolivia (Plurin. State of),BOL,11.5131,10.6278,10.1862
25,"Bonaire, St. Eustatius & Saba",N/A,0.026,79.2043,
26,Bosnia and Herzegovina,BIH,3.301,64.7255,24.4739
27,Botswana,BWA,2.3037,4.0649,6.8703
28,Brazil,BRA,211.0495,25.2508,13.5897
29,British Virgin Islands,VGB,0.03,200.2,
30,Brunei Darussalam,BRN,0.4333,82.2173,8.9655
31,Bulgaria,BGR,7.0001,64.4816,28.0121
32,Burkina Faso,BFA,20.3214,74.274,3.9008
33,Burundi,BDI,11.5306,449.0101,4.0033
34,Cabo Verde,CPV,0.5499,136.4603,7.3374
35,Cambodia,KHM,16.4865,93.3976,7.3537
36,Cameroon,CMR,25.8764,54.7405,4.2955
37,Canada,CAN,37.411,4.114,24.3344
38,Cayman Islands,CYM,0.0649,270.6167,
39,Central African Republic,CAF,4.7452,7.6169,4.4808
40,Chad,TCD,15.9469,12.6643,3.9384
41,Channel Islands,N/A,0.1723,906.6263,23.6272
42,Chile,CHL,18.952,25.4892,16.9431
43,China,CHN,1433.7837,152.7217,16.8409
44,Colombia,COL,50.3394,45.3713,12.7695
45,Comoros,COM,0.8509,457.2198,5.0362
46,Congo,COG,5.3805,15.7555,4.4386
47,Cook Islands,COK,0.0175,73.1167,
48,Costa Rica,CRI,5.0476,98.8555,14.4913
49,Côte d’Ivoire,CIV,25.7165,80.8696,4.6718
50,Croatia,HRV,4.1303,73.8081,27.8954
51,Cuba,CUB,11.3335,106.4777,20.6811
52,Curaçao,CUW,0.1634,368.0721,23.8741
53,Cyprus,CYP,1.1986,129.7159,19.3335
54,Czechia,CZE,10.6892,138.3896,25.9381
55,Dem. People's Rep. Korea,PRK,25.6662,213.1564,14.6316
56,Dem. Rep. of the Congo,COD,86.7906,38.2835,4.6655
57,Denmark,DNK,5.7719,136.0329,25.8219
